"","OBJECTID","LANESTART","LANEEND","SVLType","OperatingDay","StartingHourM","EndingHourM","EndingHourE","LanePositionNew","StartingHourE","Shape__Length"
"109",109,"403 Lake Road","382 Lake Road","Bus","24/7",NA,NA,NA,NA,NA,45.8383159247991
"110",110,"FH Turn lane, Ponsonby Rd","Intersection Hopetoun Street","Bus","24/7",NA,NA,NA,NA,NA,32.5897583909062
"111",111,"278 Mt Eden Road","390 Mt Eden Rd","Bus","Monday to Friday",NA,NA,19,NA,16,413.658403649823
"112",112,"Intersection Ireland Road","535 Ellerslie-Panmure Highway","Bus Only","24/7",NA,NA,NA,NA,NA,37.4906978200255
"113",113,"Intersection Selwyn Street","End of merge with motorway","T2&Truck","24/7",NA,NA,NA,NA,NA,452.171396408356
"114",114,"Intersection Landscape Road","Intersection Grange Road","Bus","Monday to Friday",7,10,NA,NA,NA,1736.70711977677
"115",115,"LH Turn lane, New North Rd","Intersection Sandringham Road","Bus","24/7",NA,NA,NA,NA,NA,28.3910093632511
"116",116,"Intersection Rutland Street","Intersection Wellesley Street East","Bus","24/7",NA,NA,NA,NA,NA,50.1499969146408
"117",117,"LH Turn Wellesley Street East","Intersection Mayoral Drive","Bus","24/7",NA,NA,NA,NA,NA,27.6780857953268
"118",118,"153 Great South Road","Intersection Browns Road","Bus","Monday to Friday",7,9,NA,NA,NA,1319.2386718878
"119",119,"LH Turn lane Great South Rd","End of merge from LH Turn Reagan Road","Bus","24/7",NA,NA,NA,NA,NA,53.110818938348
"120",120,"24-28 Verran Road","Intersection Birkdale Road","Bus Only","24/7",NA,NA,NA,NA,NA,60.3747560717247
"121",121,"Intersection Birkdale Road","24-28 Verran Road","Bus Only","24/7",NA,NA,NA,NA,NA,55.5072263772384
"122",122,"Intersection Esmonde Road","Intersection Accessway","Bus Only","24/7",NA,NA,NA,NA,NA,115.935141611011
"123",123,"Intersection Accessway","Roundabout Accessway/University Ave","Bus",NA,NA,NA,NA,NA,NA,118.11562569052
"124",124,"Intersection Accessway","Pedestrian Crossing","Bus","24/7",NA,NA,NA,NA,NA,40.0786448804112
"125",125,"After Westfield Parking access (northbound)","Intersection Don McKinnon Drive","Bus","24/7",NA,NA,NA,NA,NA,132.277849151823
"126",126,"Intersection Don McKinnon Drive","After Westfield Parking access (southbound)","Bus","24/7",NA,NA,NA,NA,NA,251.971337769505
"127",127,"Westfield parking exit","Intersection Don McKinnon Drive","Bus","24/7",NA,NA,NA,NA,NA,161.061557230793
"128",128,"Intersection Don McKinnon Drive","Before Westfield parking exit (southbound)","Bus","24/7",NA,NA,NA,NA,NA,130.266262433859
"129",129,"After parking entrance (southbound)","Bus terminal","Bus Only","24/7",NA,NA,NA,NA,NA,95.3929159039086
"130",130,"30 Esmonde Road","Inst Barrys Point Rd and Esmonde Rd","Bus","24/7",NA,NA,NA,NA,NA,566.696958784968
"131",131,"Intsn Barrys Point Rd and Esmonde Rd","Start of motorway","Bus","24/7",NA,NA,NA,NA,NA,304.252902580454
"132",132,"1083 Dominion Road (N of Denbigh Avenue)","1053 Dominion Road (S of Memorial Avenue)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,271.830429417047
"133",133,"139 May Road (N of Richardson Road)","101 May Road (south of Roma Road)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,415.223153275102
"134",134,"1302 Dominion Road (S of Memorial Avenue)","1334 Dominion Road (N of Denbigh Avenue)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,275.666627927069
"135",135,"Osterley Way","99 Leyton Way, Manakau","Bus","Monday to Friday",7,NA,NA,NA,NA,476.853177093546
"136",136,"735 Great South Road, Papatoetoe","59 Great South Road, Papatoetoe","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,1139.55333486334
"137",137,"From Veronika Street","Avondale round about","Bus","Monday to Friday",7,10,19,NA,16,1188.545996698
"138",138,"From Larch Street","Veronica Street","Bus","Monday to Friday",NA,NA,19,NA,16,951.886099506119
"139",139,"Pukenui Road","Owens Road","T3","Monday to Friday",7,10,19,NA,16,2581.87020018393
"140",140,"Pukenui Road","Owens Road","T3","Monday to Friday",NA,NA,19,NA,16,2568.20053844192
"141",141,"Greenwoods Corner","Trafalgar Street","T3","Monday to Friday",NA,NA,19,NA,16,1774.02989257184
"142",142,"Trafalgar Street","Greenwoods Corner","T3","Monday to Friday",7,10,19,NA,16,1774.02989257216
"143",143,"From Veronika Street","Avondale round about","Bus","Monday to Friday",7,10,19,NA,16,1188.545996698
"144",144,"From Larch Street","Veronica Street","Bus","Monday to Friday",NA,NA,19,NA,16,951.886099506119
"145",145,"1843 Great North Road","Ash Steet","Bus","Monday to Friday",7,10,19,NA,16,197.284262030192
"146",146,"170 Sandringham Road (S of Burnley Terrace)","314 Sandringham Road (N of Lancing Road)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,706.920774616509
"147",147,"Opposite 211 Albany Highway (N of Bush Road)","Opposite 22 Albany Highway (S of Rosedale Road)","T2","Monday to Friday",7,10,19,"Kerbside",15,1484.93198039155
"148",148,"Albany Highway (South of Albany Expressway)","211 Albany Highway (N of Bush Road)","T2","Monday to Friday",7,10,19,"Kerbside",15,3569.86683018678
"149",149,"387 Albany Hwy (North of Rosedale Road)","Albany Highway (South of Albany Expressway)","T2","Monday to Friday",7,10,19,"Kerbside",15,1760.04673752434
"150",150,"77 Walmsley Road (N of Mangere Road)
77 Walmsley Road (N of Mangere Road)
77 Walmsley Road (N of Mangere Road)","47 Walmsley Road (S of Hans Street)","T3","Monday to Friday",7,10,19,"Kerbside",16,266.39015601667
