"","OBJECTID","LANESTART","LANEEND","SVLType","OperatingDay","StartingHourM","EndingHourM","EndingHourE","LanePositionNew","StartingHourE","Shape__Length"
"26",26,"727 Great North Road (E of Bullock Track)","Grey Lynn School (opposite 654 Great North Road)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,513.228366382655
"27",27,"Intersection with Surrey Crescent","Intersection with Surrey Cresent ","Bus","24/7",NA,NA,NA,"Kerbside",NA,25.6777030529932
"28",28,"465 Great North Road (E of Crummer Road)","399 Great North Road (W of Elgin Street)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,432.372963529116
"29",29,"Ti Rakau Drive Intersection","Ti Rakau Drive Intersection","Bus","24/7",NA,NA,NA,"Centre",NA,47.1546910028516
"30",30,"Gossamer Drive Intersection","Gossamer Drive Intersection","Bus","24/7",NA,NA,NA,"Kerbside",NA,72.0896616007251
"31",31,"Aviemore Drive/Bucklands Beach Road Intersection","Aviemore Drive/Bucklands Beach Road Intersection","Bus","24/7",NA,NA,NA,"Centre",NA,35.6893325725073
"32",32,"Harris Road Intersection","Harris Road Intersection","Bus","24/7",NA,NA,NA,"Centre",NA,92.465069409534
"33",33,"650 Great South Road (N of Bairds Road, Otahuhu)","660 Great South Road (S of Bairds Road, Otahuhu)","Bus","24/7",NA,NA,NA,"Kerbside",NA,83.5144301919539
"34",34,"Cnr Ashgrove Road (63 Ashgrove Road)","125 Bader Drive (E of Mascot Avenue)","Bus","Monday to Friday",7,10,19,"Kerbside",15,203.92649119158
"35",35,"255 Great North Road (Opp King Street)","79 Great North Road (W of Pollen Street)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,554.777931456315
"36",36,"110 Great North Road (W of Burns Street)","300 Great North Road (E of Bond Street)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,618.230469950424
"37",37,"406 Great North Road (E of Hadlow Terrace)","Opposite 497 Great North Road (W of Crummer Road)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,393.435251956587
"38",38,"636 Great North Road (W of Surrey Cres)","744 Great North Road (W of Tuarangi Road)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,710.31163272058
"39",39,"E of St Lukes Road Intersection","1180 Great North Road (W of Parr Road N)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,1394.5327467366
"40",40,"279 Great South Road (N of Campbell Road, Greenlane)","217 Great South Road (W of Puriri Avenue, Greenlane)","Bus","Monday to Friday",7,10,19,"Kerbside",16,509.109575875318
"41",41,"196 Great South Road (N of Greenlane W)","25A Great South Road (E of Ngaire Ave, Epsom)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,1845.80575082675
"42",42,"378 Great South Road (S of Greenlane E)","500 Great South Road (W of Woodbine Ave, Greenlane)","Bus","Monday to Friday",7,10,19,"Kerbside",16,317.561336026889
"43",43,"351 Karangahape Road (E of Day Street)","269 Karangahape Road (W of Pitt Street)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,134.218300214229
"44",44,"425 Broadway (S of Edgerley Avenue)","277 Broadway (S of Morrow Street)","Bus","Monday to Friday",7,10,19,"Kerbside",16,421.299775816429
"45",45,"417 Khyber Pass Road (W of Melrose Street)","371 Khyber Pass Road (E of Mountain Road)","Bus","Monday to Friday",7,10,19,"Kerbside",16,225.656112250705
"46",46,"262 Khyber Pass Road (E of Park Road)","342 Khyber Pass Road (W of Suiter Street)","Bus","Monday to Friday",7,10,19,"Kerbside",16,272.460116902068
"47",47,"390 Mount Eden Road (S of Batger Road)","410 Mount Eden Road (N of Oaklands Road)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,172.78132491227
"48",48,"Symonds Street Motorway Onramp Intersection (SH1 Southbound)","Symonds Street Offramp Intersection (N approach)","Bus","24/7",NA,NA,NA,"Kerbside",NA,289.772963128013
"49",49,"124 Symonds Street (S of Symonds Street Offramp)","Intersection with Khyber Pass Road","Bus","24/7",NA,NA,NA,"Kerbside",NA,270.571099842415
"50",50,"401 New North Road (E of New Bond Street)","319 New North Road (E of Bond Street)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,473.332920819829
"51",51,"310 New North Road (W of Ace Place)","394 New North Road (Sandringham Road Intersection)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,462.286403838002
"52",52,"101 Victoria Street West (E of Hobson Street)","77 Victoria Street (W of Federal Street)","Bus","24/7",NA,NA,NA,"Kerbside",NA,65.0879716545463
"53",53,"183 Park Road (N of Carlton Gore Road)","1 Park Road (Grafton Road Intersection)","Bus","24/7",NA,NA,NA,"Kerbside",NA,580.73649004215
"54",54,"100 Park Road (S of Carlton Gore Road)","118 Park Road (Bridge Over Railway)","Bus","24/7",NA,NA,NA,"Kerbside",NA,93.8576637179203
"55",55,"61 Parnell Rise (W of Carlaw Park Avenue)","31 Parnell Rise (Stanley Street Intersection)","Bus","24/7",NA,NA,NA,"Centre",NA,63.3177381953703
"56",56,"Opposite 50 Ponsonby Road (Hopetoun Street Intersection)","1 Ponsonby Road (midblock between Hopetoun Street and K Road)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,75.1261270489141
"57",57,"370 Broadway (S of Balm Street)","500 Broadway (N of St Marks Road)","Bus","Monday to Friday",7,10,19,"Kerbside",16,299.597067594573
"58",58,"12 Quay Street (W of The Strand)","138 Quay Street (E of Commerce Street)","Bus","Monday to Friday",6,10,NA,"Kerbside",NA,1203.70583444823
"59",59,"500 Queen Street (S of City Road)","520 Queen Street (N of Karangahape Road)","Bus","24/7",NA,NA,NA,"Kerbside",NA,99.4392419337901
"60",60,"757 Remuera Road (W of McFarland Street)","605 Remuera Road (Opposite Lucerne Road)","T3","Monday to Friday",7,10,NA,"Kerbside",NA,1188.82515066345
"61",61,"233 Remuera Road (W of Market Road)","55 Remuera Road (W of Belmont Terrace)","T3","Monday to Friday",7,10,NA,"Kerbside",NA,1284.08386407753
"62",62,"62 Remuera Road (W of Belmont Terrace)","216 Remuera Road (S of Westbourne Road)","T3","Monday to Friday",NA,NA,19,"Kerbside",16,1155.77250875946
"63",63,"702 Remuera Road (Opposite Koraha Street)","774 Remuera Road","T3","Monday to Friday",NA,NA,19,"Kerbside",16,630.601352015787
"64",64,"309 Sandringham Road (N of Watson Avenue)","193 Sandringham Road (S of Leslie Avenue)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,623.724964608147
"65",65,"125 Sandringham Road (N of Ethel Street)","9 Sandringham Road (S of Onslow Road)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,859.77373690189
"66",66,"12 Sandringham Road (S of Onslow Road)","128 Sandringham Road (N of Burnley Terrace)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,750.41065096796
"67",67,"396 Sandringham Road (N of Patterson Street)","484 Sandringham Road (N of Tranmere Road)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,474.588825202675
"68",68,"588 Sandringham Road (N of Lambeth Road)","692 Sandringham Road (N of Mt Albert Road)","Bus","Monday to Friday",NA,NA,19,"Kerbside",16,481.819702003863
"69",69,"83 New North Road (E of Charlotte Street)","Intersection with Basque Road","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,293.888450265997
