Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
EVERGLADE DR,FLAMINGO CRT,BANKSIA PL,140,Yes,1309392000000,1700,NA,12212,1218,97,1,1,1,0,0,2,1768780.7911,5904410.2961
EVERGLADE DR,MELIA GR,RANSOM SMYTH DR,516,Yes,1032307200000,NA,NA,13802,NA,NA,NA,NA,NA,NA,NA,NA,1768796.8828,5904052.661
EVERGLADE DR,RANSOM SMYTH DR,DE HAVILLAND DR,641,Yes,1251763200000,1700,7D,10598,1132,96,1,2,1,0,0,3,1768733.0908,5903947.7018
EVERGLADE DR,DEODAR PL,TILIA PL,1749,Yes,1116806400000,17:00,NA,9762,989,97,1,2,0,0,0,2,1768918.4525,5903024.681
EVERGLADE DR,TILIA PL,EUGENIA RISE RAB,1844,Yes,645321600000,16:00,NA,5600,774,85,10,2,1,2,0,5,1768958.2608,5902935.2433
ARONIA WAY,EVERGLADE DR,CUL DE SAC,210,Yes,1131062400000,18:00,NA,311,41,97,1,2,0,0,0,2,1768759.6619,5903593.8313
KERI ANNE PL,EVERGLADE DR,CUL DE SAC,100,Yes,1069891200000,NA,NA,362,NA,98,1,1,0,0,0,1,1768481.4783,5903697.0044
RANSOM SMYTH DR,PALMETTO PL,ASTELIA PL,117,Yes,1000339200000,NA,NA,959,NA,NA,NA,NA,NA,NA,NA,NA,1768933.5696,5904216.4303
GOODWOOD DR,REDOUBT RD,ELSTED PL,10,Yes,834105600000,NA,NA,3577,NA,NA,NA,NA,NA,NA,NA,NA,1769085.7881,5904653.4838
GOODWOOD DR,HURSTBOURN PRIORS,EWHURST PL,433,Yes,988848000000,NA,NA,3724,NA,NA,NA,NA,NA,NA,NA,NA,1769312.2939,5904328.109
GOODWOOD DR,CAPISTRANO MEWS,RIBBONWOOD CRES,790,Yes,1242086400000,NA,7D,3176,NA,98,1,1,0,0,0,1,1769400.9987,5903995.0069
HILLTOP RD (MANUKAU HEIGHTS),ARROWSMITH DR,LIBNAI AVE,390,Yes,862272000000,NA,NA,3917,NA,NA,NA,NA,NA,NA,NA,NA,1769510.0453,5905011.2934
HILLTOP RD (MANUKAU HEIGHTS),LIBNAI AVE,ASPIRING AVE,593,Yes,1316390400000,1700,NA,4026,594,97,1,2,0,0,0,2,1769346.8078,5905119.6883
MOANA AVE (WAIHEKE),SURFDALE RD,PARK RD,59,Yes,1005264000000,19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780568.5884,5926676.1161
CORONATION RD (PAPATOETOE),SHIRLEY RD,DETRO ST,122,Yes,1337644800000,1600,NA,3606,419,95,0,5,0,0,0,5,1764749.9414,5905991.4265
CORONATION RD (PAPATOETOE),DETRO ST,ALLEN AVE,178,Yes,1087430400000,NA,NA,2781,NA,NA,NA,NA,NA,NA,NA,NA,1764763.0275,5906045.7066
CORONATION RD (PAPATOETOE),REEVES AVE,OMAGH RD,428,Yes,1143590400000,15:00,NA,3254,343,96,0,3,1,0,0,4,1764821.6246,5906287.9841
DETRO ST,RANGITOTO RD,CORONATION RD,40,Yes,1042675200000,NA,NA,1373,NA,NA,NA,NA,NA,NA,NA,NA,1764849.8584,5906002.2523
MCLEAN AVE,SWAFFIELD RD (NORTH),SWAFFIELD RD (SOUTH),534,Yes,1042675200000,NA,NA,506,NA,NA,NA,NA,NA,NA,NA,NA,1764470.3814,5906723.4757
OMAGH AVE,RANGITOTO RD RAB,CORONATION RD,296,Yes,1074556800000,NA,NA,5267,NA,NA,NA,NA,NA,NA,NA,NA,1764902.9596,5906291.0408
WOOLFIELD RD,TROON PL,CAMDEN PL,120,Yes,1235692800000,17:00,NA,537,58,97,1,1,1,0,0,2,1764621.3074,5906976.8044
WOOLFIELD RD,CORONATION RD,CUL DE SAC,839,Yes,985392000000,NA,NA,542,NA,NA,NA,NA,NA,NA,NA,NA,1764412.9572,5906476.6225
TREVOR HOSKEN DR,MARBLE PL,GRANITE PL,420,Yes,987638400000,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA,1767419.0835,5903442.0076
TREVOR HOSKEN DR,TOPAZ PL,AMETHYST PL,765,Yes,1306368000000,1700,NA,1230,156,95,2,2,1,0,0,3,1767485.4286,5903128.4012
MEADOWCOURT DR,REAGAN RD (LHS),WINDOMA CIRCLE (LIGHTPOLE RHS),10,Yes,817516800000,NA,NA,723,NA,NA,NA,NA,NA,NA,NA,NA,1767298.9958,5905591.0505
