Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
ALFRISTON RD (MANUREWA),FLEMING ST,CLAUDE RD,468,Yes,714009600000,NA,NA,8702,NA,NA,NA,NA,NA,NA,NA,NA,1769343.535,5901017.0027
ALFRISTON RD (MANUREWA),CLAUDE RD,SCOTTS RD,620,Yes,1143072000000,17:00,NA,16000,1600,98,0,2,0,0,0,2,1769482.4461,5901074.7195
ALFRISTON RD (MANUREWA),SCOTTS RD,BROUGH RD,830,Yes,1051574400000,NA,NA,14302,NA,NA,NA,NA,NA,NA,NA,NA,1769677.1442,5901155.4343
ALFRISTON RD (MANUREWA),MOTORWAY OVERBRIDGE (1ST ABUTMENT),MOTORWAY OVERBRIDGE (2ND ABUTMENT),1061,Yes,1252627200000,800,NA,16913,1808,96,1,2,1,0,0,3,1769891.5777,5901244.3105
ALFRISTON RD (MANUREWA),MOTORWAY OVERBRIDGE (2ND ABUTMENT),MAGIC WAY,1140,Yes,1314316800000,1700,NA,15531,1758,97,1,2,0,0,0,2,1769963.8825,5901274.6239
BEAUMONTS WAY,WEYMOUTH RD,BLOSSOM LANE,170,Yes,1228694400000,08:00,7D,979,124,98,1,1,0,0,0,1,1768826.2036,5900623.278
BEIHLERS RD,WEYMOUTH RD,END,91,Yes,1061510400000,NA,NA,642,NA,NA,NA,NA,NA,NA,NA,NA,1765730.3331,5897816.1604
BLANES RD,WEYMOUTH RD,EVANS RD,40,Yes,1028246400000,NA,7D,1000,NA,86,8,3,2,1,0,6,1765791.6798,5898526.9287
COXHEAD RD,KITA RD,O'CONNELL ST,392,Yes,678931200000,NA,NA,6186,NA,86,8,3,2,1,0,6,1768226.458,5900129.4978
COXHEAD RD,KOHIWI RD,MAHIA RD RAB,907,Yes,678931200000,NA,NA,6186,NA,86,8,3,2,1,0,6,1768339.3891,5899633.5439
COXHEAD RD,WATTLE FARM RD,MCQUARRIE AVE,1725,Yes,1045008000000,NA,NA,6412,NA,NA,NA,NA,NA,NA,NA,NA,1768712.9169,5898907.7558
DAMIAN WAY,LEAVER PL,WEYMOUTH RD,152,Yes,1027641600000,NA,NA,2298,NA,NA,NA,NA,NA,NA,NA,NA,1766308.8244,5899510.161
ESTUARY RD (MANUREWA),MAIL AVE,EVANS RD,143,Yes,1272412800000,800,7D,648,149,98,1,1,0,0,0,1,1765859.3243,5898287.2047
ETHERTON DR,WEYMOUTH RD,SILVER CREEK RD,0,Yes,867628800000,NA,NA,507,NA,NA,NA,NA,NA,NA,NA,NA,1765937.8234,5898980.4346
ETHERTON DR,SPARROW PL,REYLAND CL,242,Yes,1314230400000,1600,NA,1367,163,97,1,2,0,0,0,2,1765718.1098,5898971.1994
ETHERTON DR,REYLAND CL,HAROBED PL,352,Yes,1106870400000,17:00,NA,1402,192,98,2,0,0,0,0,0,1765625.4823,5898916.8314
ETHERTON DR,HAROBED PL,JANESE PL,702,Yes,1100649600000,18:00,NA,1546,166,97,1,1,1,0,0,2,1765504.6606,5899174.4686
ETHERTON DR,NICHOLAS GIBBONS DR,PALMERS RD RAB,907,Yes,1314230400000,1600,NA,2069,215,97,1,1,1,0,0,2,1765473.4039,5899366.3288
GIBBONS RD (MANUREWA),DOMAIN RD,CUL DE SAC,451,Yes,703296000000,NA,NA,125,NA,86,8,3,2,1,0,6,1765307.1017,5898600.4527
GREAT SOUTH RD (MANUKAU),MAXWELL RD,SHIRLEY RD,12956,Yes,821836800000,NA,NA,13410,NA,NA,NA,NA,NA,NA,NA,NA,1765415.7058,5907178.5077
GREAT SOUTH RD (MANUKAU),WATSON PL,BIRDWOOD AVE,14211,Yes,818035200000,NA,NA,16654,NA,NA,NA,NA,NA,NA,NA,NA,1766157.9267,5906177.7095
GREAT SOUTH RD (MANUKAU),CAROLYN ST,CASPAR RD,15151,Yes,1174089600000,08:00,NA,10708,1063,97,1,2,0,0,0,2,1766957.4905,5905687.5878
GREAT SOUTH RD (MANUKAU),REDOUBT RD,LAKEWOOD CRT,16811,Yes,834364800000,NA,NA,5520,NA,NA,NA,NA,NA,NA,NA,NA,1767789.1999,5904272.7963
GREAT SOUTH RD (MANUKAU),HILL RD,STATION RD,20206,Yes,609984000000,NA,NA,14850,NA,85,10,2,1,2,0,5,1768631.53,5901120.83
GREERS RD,WEYMOUTH RD,MAIL AVE,45,Yes,1028246400000,NA,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,1765726.4836,5898083.4061
HAZARDS RD,WEYMOUTH RD,END,96,Yes,1114560000000,13:00,NA,379,63,91,6,2,1,0,0,3,1765753.7481,5897955.6035
JOHN WALKER DR,WEYMOUTH RD,LANDETTE RD,99,Yes,1269216000000,800,NA,2263,355,98,1,1,0,0,0,1,1766531.1746,5899958.2324
JOHN WALKER DR,TUNA PL,ORATU PL,837,Yes,1077667200000,NA,NA,1993,NA,98,1,1,0,0,0,1,1766475.234,5900660.5204
JOHN WALKER DR,ORATU PL,WORDSWORTH AVE,896,Yes,1001030400000,NA,NA,1615,NA,86,8,3,2,1,0,6,1766472.7441,5900719.4101
KIRTON CRES,WILLIAM AVE (AT TEE),COLES PL,105,Yes,1068768000000,NA,NA,1455,NA,NA,NA,NA,NA,NA,NA,NA,1767892.8522,5900311.3261
MAHIA RD,GREAT SOUTH RD,BEAUMONTS WAY EXT,0,Yes,867628800000,NA,NA,9367,NA,NA,NA,NA,NA,NA,NA,NA,1769507.91,5899789.23
MAHIA RD,FIELDS RD,BOON ST,749,Yes,1337731200000,1200,NA,16033,1511,96,1,2,1,0,0,3,1768806.8709,5899531.4786
MAHIA RD,COXHEAD RD RAB,HOBART CRES,1098,Yes,623635200000,16:00,NA,10081,903,85,10,2,1,2,0,5,1768486.6836,5899411.6594
MAHIA RD,ANGLERS WAY,SYKES RD,2291,Yes,716083200000,NA,NA,6879,NA,NA,NA,NA,NA,NA,NA,NA,1767373.7504,5899097.117
MCINNES RD,LANE RD,OCEAN VIEW RD,272,Yes,703123200000,NA,NA,390,NA,86,8,3,2,1,0,6,1765394.3971,5898013.6898
MCINNES RD,OCEAN VIEW RD,BEACH RD,348,Yes,1298851200000,800,NA,211,30,99,1,0,0,0,0,0,1765318.2929,5898025.7365
MCLEOD RD (MANUREWA),WEYMOUTH RD,SUWYN PL,60,Yes,1061510400000,NA,NA,734,NA,NA,NA,NA,NA,NA,NA,NA,1765622.0845,5898100.3517000005
MCLEOD RD (MANUREWA),LANE RD,BEACH RD,360,Yes,1316390400000,1600,NA,210,34,98,1,1,0,0,0,1,1765327.8894,5898147.1631
MCLEOD RD (MANUREWA),BEACH RD,DOMAIN RD,425,Yes,1061510400000,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,1765263.644,5898157.298
MINTON PL,WEYMOUTH RD,CUL DE SAC,0,Yes,703296000000,NA,NA,184,NA,86,8,3,2,1,0,6,1767167.4763,5900113.6573
PALMERS RD,BARNEYS FARM RD,TAITIMU DR,470,Yes,1323043200000,1600,NA,5203,432,97,1,2,0,0,0,2,1765838.7385,5899565.9145
ROWANDALE AVE,RONALD PL,AARTS AVE,493,Yes,888278400000,NA,NA,4507,NA,NA,NA,NA,NA,NA,NA,NA,1766865.7615,5900524.867
ROYS RD,WEYMOUTH RD (RHS),OCEAN VIEW RD,72,Yes,1222387200000,14:00,NA,808,111,93,1,5,1,0,0,6,1765570.5962,5897842.5781
ROYS RD,OCEAN VIEW RD,END,292,Yes,705024000000,NA,NA,395,NA,86,8,3,2,1,0,6,1765353.5728,5897875.6026
RUSSELL RD (MANUREWA),MONTILLA PL,DEVERON RD,1082,Yes,1315353600000,800,NA,8467,925,97,1,2,0,0,0,2,1767481.3381,5901132.2198
RUSSELL RD (MANUREWA),KENT RD,SWALLOW DR,1297,Yes,1043971200000,NA,NA,9760,NA,NA,NA,NA,NA,NA,NA,NA,1767306.5013,5901255.8367
SYKES RD,MOUNTFORT PARK RAB,ASHMERE LANE,499,Yes,1079049600000,NA,NA,1525,NA,NA,NA,NA,NA,NA,NA,NA,1767134.2531,5899544.2767
SYKES RD,ASHMERE LANE,CELMISIA PL,687,Yes,1029888000000,NA,NA,2649,NA,86,8,3,2,1,0,6,1767206.1753,5899371.0736
WAIMAI AVE,DOMAIN RD (LHS),CUL DE SAC,452,Yes,703123200000,NA,NA,84,NA,86,8,3,2,1,0,6,1765270.1304,5898379.1799
GLENVEAGH PARK DR,WEYMOUTH RD,BOHOLA RISE,40,Yes,1028332800000,NA,NA,532,NA,NA,NA,NA,NA,NA,NA,NA,1766659.7135,5899861.7115
LAMBIE DR (NORTHBOUND),MOTORWAY OVERBRIDGE (1ST ABUTMENT),MOTORWAY OVERBRIDGE (2ND ABUTMENT),235,Yes,966556800000,NA,NA,7397,NA,NA,NA,NA,NA,NA,NA,NA,1766830.9768,5903916.5851
LAMBIE DR (NORTHBOUND),RONWOOD AVE RAB,CAVENDISH DR (LHS),942,Yes,683510400000,NA,NA,4080,NA,NA,NA,NA,NA,NA,NA,NA,1766722.3143,5904562.2589
LAMBIE DR (NORTHBOUND),IHAKA PL,PUHINUI RD,1587,Yes,908409600000,NA,NA,7177,NA,NA,NA,NA,NA,NA,NA,NA,1766481.02,5905157.66
BARROWCLIFFE PL,MANUKAU STATION RD (WESTBOUND),KARINA WILLIAMS WAY,50,Yes,1080345600000,NA,NA,833,NA,NA,NA,NA,NA,NA,NA,NA,1767315.354,5904088.5748
CLIST CRES,MANUKAU STATION (WEST),MANUKAU STATION (EAST/KERBLINE),123,Yes,1000252800000,NA,NA,437,NA,NA,NA,NA,NA,NA,NA,NA,1767610.0539,5904180.2583
DAVIES AVE,MANUKAU STATION RD (EASTBOUND),PUTNEY WAY,12,Yes,750297600000,NA,NA,5995,NA,NA,NA,NA,NA,NA,NA,NA,1767111.0203,5904099.6672
REDOUBT RD (MANUKAU) (SW),GREAT SOUTH RD (LHS),MOTORWAY OVERBRIDGE (1ST ABUTMENT),0,Yes,866073600000,NA,NA,7621,NA,NA,NA,NA,NA,NA,NA,NA,1767777.6996,5904298.6439
REDOUBT RD (MANUKAU) (SW),MOTORWAY OVERBRIDGE (1ST ABUTMENT),MOTORWAY OVERBRIDGE (2ND ABUTMENT),250,Yes,719193600000,NA,NA,21335,NA,85,10,2,1,2,0,5,1768029.3176,5904352.5062
PUKEKOHE EAST RD,VALLEY ROYAL WAY,END PASSING LANE (POWERPOLE RHS),1497,Yes,1067472000000,16:00,NA,10147,1078,NA,NA,NA,NA,NA,NA,NA,1772017.487,5881624.3966
PUKEKOHE EAST RD,RUNCIMAN RD,MORGAN RD (POWERPOLE LHS),2762,Yes,1292544000000,1700,NA,12116,1150,90,2,5,2,1,0,8,1773257.3808,5881595.5042
MILL RD (BOMBAY),ENTRANCE (139 MILL RD),SPEED RESTRICTION,1500,Yes,1112659200000,13:00,NA,13234,1354,91,2,3,1,3,0,7,1775259.2511,5881740.3371
RANUI AVE,POOKS RD,KAHIKATEA PL,20,Yes,321580800000,NA,7D,231,NA,86,8,3,2,1,0,6,1742517.7741,5918596.8828
METCALFE RD,RANUI STATION RD,POOKS RD,990,Yes,681436800000,NA,7D,5068,NA,85,10,2,1,2,0,5,1743096.8959,5918543.4883
GREENBERRY DR,MUNROE RD,FERNGROVE AVE,50,Yes,1212364800000,NA,7D,446,NA,86,8,3,2,1,0,6,1743144.884,5918258.852
OSTERLEY WAY,AMERSHAM WAY,RONWOOD AVE RAB,387,Yes,1079049600000,NA,NA,3639,NA,97,1,1,1,0,0,2,1767214.067,5904500.5655
PUTNEY WAY,DAVIES AVE,OSTERLEY WAY (LHS),50,Yes,1079740800000,NA,NA,2406,NA,NA,NA,NA,NA,NA,NA,NA,1767140.6172,5904221.1459
RONWOOD AVE (WESTBOUND),GREAT SOUTH RD (RHS),LEYTON WAY,0,Yes,866764800000,NA,NA,7868,NA,85,10,2,1,2,0,5,1767586.96,5904631.93
KIRKBRIDE RD,ASCOT RD,VISCOUNT ST,913,Yes,1047168000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1759044.3215,5906728.5534
KIRKBRIDE RD,TAPUWAE WAY,MOUNTAIN RD RAB,2404,Yes,1194998400000,15:00,NA,3172,344,96,1,2,1,0,0,3,1758801.7657,5908182.8551
BADER DR (EASTBOUND),MCKENZIE RD (RHS),END ISLAND RHS,0,Yes,912124800000,NA,NA,6738,NA,NA,NA,NA,NA,NA,NA,NA,1759313.2529,5908349.8932
BADER DR (EASTBOUND),ORLY AVE RAB,MASCOT AVE RAB,1737,Yes,1049241600000,NA,NA,15432,NA,NA,NA,NA,NA,NA,NA,NA,1760320.9982,5907063.3381
BADER DR (EASTBOUND),MOTORWAY OVERBRIDGE (1ST ABUTMENT),MOTORWAY OVERBRIDGE (2ND ABUTMENT),2277,Yes,1049241600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760807.306,5907163.2421
BADER DR (EASTBOUND),MOTORWAY OVERBRIDGE (2ND ABUTMENT),RYE CRT,2355,Yes,1133395200000,15:00,NA,23297,2099,97,1,1,1,0,0,2,1760868.4381,5907216.4298
BADER DR (EASTBOUND),RYE CRT,ROBERTSON RD RAB,2425,Yes,1086739200000,NA,NA,21755,NA,NA,NA,NA,NA,NA,NA,NA,1760932.3055,5907272.3353
KILLINGTON CRES,ORLY AVE,HARWELL PL,25,Yes,1045785600000,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,1759816.2956,5906940.904
KENDERDINE RD,WYLLIE RD,VERDI ST,300,Yes,1083888000000,NA,NA,3074,NA,97,0,2,1,0,0,3,1764777.0615,5905423.7773
KENDERDINE RD,CHESTNUT ST,BRIDGE ST,800,Yes,1083888000000,NA,NA,4826,NA,97,1,1,1,0,0,2,1764964.1609,5904962.7141
KENDERDINE RD,MILAN RD,PUHINUI RD (MONUMENT LHS),1041,Yes,1337212800000,1700,NA,9608,966,96,1,3,0,0,0,3,1765023.8154,5904728.2572
MILAN RD,RAYMOND RD,KENDERDINE RD,642,Yes,1272412800000,1600,7D,2078,300,98,0,1,1,0,0,2,1764898.9918,5904749.603
RAYMOND RD,PUHINUI RD,MILAN RD,50,Yes,1042675200000,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,1764771.1227,5904629.2764
WYLLIE RD (PAPATOETOE),STATION RD,KENDERDINE RD,0,Yes,690076800000,NA,NA,3391,NA,NA,NA,NA,NA,NA,NA,NA,1764669.3346,5905766.082
NOEL BURNSIDE RD,BURRELL AVE,GOLDEN ARCHES PL,110,Yes,724550400000,NA,NA,3386,NA,NA,NA,NA,NA,NA,NA,NA,1764532.2073,5904360.7576
NOEL BURNSIDE RD,GOLDEN ARCHES PL,DIVERSEY LANE,153,Yes,886636800000,NA,NA,27102,NA,NA,NA,NA,NA,NA,NA,NA,1764530.1066,5904316.4564
BRETT AVE (PAPATOETOE),PLUNKET AVE,GRAYSON AVE,50,Yes,1042675200000,NA,NA,624,NA,NA,NA,NA,NA,NA,NA,NA,1765775.2429,5904748.9626
CAVENDISH DR (WESTBOUND),SHARKEY ST,JACK CONWAY AVE,369,Yes,864518400000,NA,NA,8075,NA,NA,NA,NA,NA,NA,NA,NA,1767115.5182,5904755.6027
CAVENDISH DR (WESTBOUND),JACK CONWAY AVE,LAMBIE DR (LHS),464,Yes,816825600000,NA,NA,10077,NA,NA,NA,NA,NA,NA,NA,NA,1767026.5931,5904724.3467
CAVENDISH DR (WESTBOUND),GRAYSON AVE,PLUNKET AVE (LHS),1507,Yes,1279238400000,16:00,7D,18453,1884,92,1,3,2,2,0,7,1766015.4142,5904494.1636
PUHINUI RD (EAST),LAMBIE DR,NORMAN SPENCER DR,739,Yes,894153600000,NA,NA,11880,NA,NA,NA,NA,NA,NA,NA,NA,1766423.2605,5905245.4643
PUHINUI RD (EAST),YORK ST,GRAYSON AVE,1326,Yes,894153600000,NA,NA,10882,NA,NA,NA,NA,NA,NA,NA,NA,1765879.6285,5905023.9566
GREAT SOUTH RD (PAPAKURA),PAPAKURA STREAM BRIDGE (1ST ABUT),TE NAPI DR,21923,Yes,1085270400000,NA,NA,31487,NA,91,2,2,3,2,0,7,1769570.0614,5899702.2479
GREAT SOUTH RD (PAPAKURA),SPARTAN RD,MOTORWAY ONRAMP (SOUTHBOUND),22463,Yes,1274313600000,NA,7D,32566,NA,92,2,3,1,NA,0,4,1769949.5884,5899319.502
GREAT SOUTH RD (PAPAKURA),MANUIA RD,BEAUMARIS WAY,22843,Yes,1080000000000,NA,NA,22395,NA,95,1,2,2,0,0,4,1770221.6058,5899054.6504
GREAT SOUTH RD (PAPAKURA),BEAUMARIS WAY,MARU RD,23019,Yes,653616000000,12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770346.5697,5898931.0149
GREAT SOUTH RD (PAPAKURA),TAKA ST,GRAHAM RD,23579,Yes,1171584000000,NA,NA,28117,NA,85,10,2,1,2,0,5,1770746.3494,5898539.5513
GREAT SOUTH RD (PAPAKURA),BEACH RD,UNA ST,24033,Yes,1220832000000,NA,NA,24555,NA,94,1,3,1,1,0,5,1771079.2523,5898231.924
GREAT SOUTH RD (PAPAKURA),TIRONUI RD,TRENTHAM RD,25315,Yes,1307923200000,16:00,7D,19043,1619,83,1,5,7,NA,0,12,1771970.9159,5897269.941
GREAT SOUTH RD (PAPAKURA),TRENTHAM RD,YOUNGS RD,25501,Yes,540518400000,17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772125.598,5897172.7881
GREAT SOUTH RD (PAPAKURA),YOUNGS RD,BRYNBELA CRT,25657,Yes,859939200000,19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772263.8311,5897100.5997
GREAT SOUTH RD (PAPAKURA),OSHANNESSEY ST,QUEEN ST (SIGN LHS),26308,Yes,1124064000000,NA,NA,16362,NA,94,1,2,2,1,0,5,1772582.2012,5896581.9901
GREAT SOUTH RD (PAPAKURA),QUEEN ST (SIGN LHS),ELLIOT ST,26461,Yes,1124064000000,NA,NA,9596,NA,96,1,2,1,0,0,3,1772659.6829,5896450.4729
GREAT SOUTH RD (PAPAKURA),WELLINGTON ST,NELSON ST,27104,Yes,1050451200000,16:00,NA,14448,1547,96,1,2,1,0,0,3,1772789.8613,5895838.7076
GREAT SOUTH RD (PAPAKURA),BELLFIELD RD,HAZELDENE PL,28503,Yes,792720000000,09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772642.7544,5894452.7768
GREAT SOUTH RD (PAPAKURA),MIRO ST,SUTTON RD,30459,Yes,1097107200000,NA,NA,9183,NA,93,2,3,1,1,0,5,1773080.9208,5892605.4028
GREAT SOUTH RD (PAPAKURA),YOUNG CRES,EAST ST,30838,Yes,1286755200000,NA,7D,10418,NA,85,10,2,1,2,0,5,1773311.4242,5892305.3673
GREAT SOUTH RD (PAPAKURA),CAMERON PL,NORRIE RD RAB,31243,Yes,1098403200000,NA,NA,10954,NA,NA,NA,NA,NA,NA,NA,NA,1773435.411,5891926.0087
KELVIN HART DR,SAYES CL,FRANSHELL CRES,375,Yes,1129680000000,17:00,NA,1253,159,98,1,1,0,0,0,1,1769806.104,5910033.496
CHAPEL RD,MEDVALE AVE,BROADHURST RD,532,Yes,1016668800000,NA,NA,12689,NA,NA,NA,NA,NA,NA,NA,NA,1769422.0224,5906091.1605
CHAPEL RD,ORMISTON RD (LHS),CHAPEL RD BRIDGE (1ST ABUTMENT),1956,Yes,1093910400000,8:00,NA,14184,1503,95,2,2,1,0,0,3,1769767.1247,5907470.0278
CHAPEL RD,STANCOMBE RD,BAVERSTOCK RD,2913,Yes,1284422400000,800,7D,17558,1871,97,1,1,0,1,0,2,1769987.0056,5908391.1329
CHAPEL RD,BALLYBAY RD,KILKENNY DR,4098,Yes,828230400000,NA,NA,2808,NA,NA,NA,NA,NA,NA,NA,NA,1770259.3562,5909543.0635
CHAPEL RD,KILKENNY DR,CARLINGFORD DR,4344,Yes,907718400000,NA,NA,21395,NA,NA,NA,NA,NA,NA,NA,NA,1770318.3286,5909781.7298
CHAPEL RD,TOWN CENTRE DR,SHOPPING CENTRE ENTRANCE #1,5291,Yes,1029974400000,NA,NA,16517,NA,NA,NA,NA,NA,NA,NA,NA,1770545.8939,5910701.2194
CHAPEL RD,KILKENNY DR,KILIMANJARO DR,6653,Yes,761875200000,NA,NA,15456,NA,NA,NA,NA,NA,NA,NA,NA,1771163.8078,5911852.4777
BAVERSTOCK RD,OAKVILLE AVE,DANIELLE PL,800,Yes,1081987200000,NA,NA,1019,NA,NA,NA,NA,NA,NA,NA,NA,1770774.7315,5908256.8839
LANGLEY RD,ROSCOMMON RD,MAYO RD,121,Yes,1081987200000,NA,NA,1390,NA,NA,NA,NA,NA,NA,NA,NA,1765388.9545,5902366.7637
DRUCES RD (SOUTHBOUND),KERRS RD,END,849,Yes,707356800000,NA,NA,650,NA,NA,NA,NA,NA,NA,NA,NA,1767323.8,5902957.27
ROSCOMMON RD (SOUTHBOUND),KIWI TAMAKI RD,BOLDERWOOD PL,1650,Yes,1314230400000,700,NA,14344,1754,96,1,2,1,0,0,3,1765428.0097,5901979.7189
ROSCOMMON RD (SOUTHBOUND),BROWNS RD,FINLAYSON AVE,2510,Yes,1079827200000,NA,NA,16149,NA,NA,NA,NA,NA,NA,NA,NA,1765756.356,5901183.7089
ROSCOMMON RD (SOUTHBOUND),MONCRIEFF AVE,PUSHON PL,2878,Yes,1211414400000,07:00,7D,14078,1444,94,1,3,1,1,0,5,1765895.7504,5900844.9567
BROWNS RD,MARR RD,DALGETY RD,1221,Yes,742348800000,NA,NA,15001,NA,NA,NA,NA,NA,NA,NA,NA,1767054.3021,5901971.4332
BROWNS RD,GLOUCESTER RD,RUSSELL RD,1472,Yes,609984000000,NA,NA,14165,NA,85,10,2,1,2,0,5,1766821.6761,5901876.8534
BROWNS RD,ROWANDALE AVE,DAGENHAM ST,2071,Yes,1285113600000,800,7D,15114,1377,94,3,2,1,0,0,3,1766266.3478,5901651.5578
BROWNS RD,CHONNY CRES,FELLBROOK ST,2461,Yes,1309305600000,1700,NA,11794,1298,97,1,1,1,0,0,2,1765904.9003,5901504.5595
BURBANK AVE,FELLBROOK ST,FEASEGATE ST,126,Yes,672796800000,08:00,NA,3370,166,NA,NA,NA,NA,NA,NA,NA,1765897.1641,5901152.139
BURUNDI AVE,FROBISHER WAY,MAPLESDEN DR,299,Yes,1071360000000,NA,NA,6241,NA,NA,NA,NA,NA,NA,NA,NA,1765740.398,5900482.6479
BURUNDI AVE,MAPLESDEN DR,BALWYN PL,359,Yes,1281916800000,08:00,7D,3816,367,98,1,1,0,0,0,1,1765683.7202,5900460.1953
FINLAYSON AVE,NGATIRA PL,BUNDENA PL,1020,Yes,1298851200000,1700,NA,3693,422,97,0,2,1,0,0,3,1765281.1451,5900603.1377
FINLAYSON AVE,MAPLESDEN DR,PALMERS RD RAB,1964,Yes,1281916800000,17:00,7D,3884,496,96,1,3,0,0,0,3,1765460.6803,5899712.198
MONCRIEFF AVE,TROUNSON AVE,FINLAYSON AVE,508,Yes,1071360000000,NA,NA,722,NA,NA,NA,NA,NA,NA,NA,NA,1765424.1782,5900938.1303
ROBERT ROSS PL,ROSCOMMON RD,ROBERT SKELTON PL,70,Yes,1110326400000,17:00,NA,3255,307,99,0,1,0,0,0,1,1766155.5539,5900013.9309
HAUTU DR,ROSCOMMON RD,HA CRES,100,Yes,1314230400000,700,NA,2445,326,80,1,9,6,4,0,19,1765185.2862,5902285.1278
EARL RICHARDSON AVE,DRUCES RD,KELLOW PL,66,Yes,1047081600000,NA,NA,1633,NA,NA,NA,NA,NA,NA,NA,NA,1767118.5284,5903242.888
KERRS RD,WALLSON CRES (EAST),WALLSON CRES (WEST),139,Yes,1194048000000,08:00,NA,13679,1508,92,1,3,2,2,0,7,1767982.3988,5903231.5172
PAPAKURA/CLEVEDON RD (SR),BULLENS RD,MULLINS RD,2481,Yes,1109721600000,NA,NA,4173,NA,91,4,3,1,1,0,5,1776577.2143,5898734.9227
PAPAKURA/CLEVEDON RD,WIDTH CHANGE START KCC RHS,TAKANINI-CLEVEDON RD,7738,Yes,860457600000,NA,NA,3773,NA,NA,NA,NA,NA,NA,NA,NA,1780142.9431,5901974.2582
WHITFORD RD (WHITFORD) (SR),GRIGGS RD,FAIRVIEW RD,5292,Yes,759542400000,NA,NA,4443,NA,NA,NA,NA,NA,NA,NA,NA,1773318.9806,5909751.5321
AIRFIELD RD (ARDMORE) (SR),CORSAIR LANE,MULLINS RD,4045,Yes,792115200000,14:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1774910.1442,5900284.9268
BREMNER RD (RUNCIMAN) (SR),ATA RD,JESMOND RD,1276,Yes,1092614400000,NA,NA,343,NA,91,3,5,1,0,0,6,1771940.26,5892103.0237
BREMNER RD (RUNCIMAN) (SR),JESMOND RD,END,1818,Yes,1092614400000,NA,NA,266,NA,92,2,5,1,0,0,6,1771393.6674,5892099.5867
SUTTON RD (OPAHEKE) (SR),CENTRE RAIL CROSSING,OPAHEKE RD,1130,Yes,969580800000,18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1773818.3324,5893236.719
DAWSON RD (FLAT BUSH) (SE),TE IRIRANGI DR (RHS),DISSMEYER DR (LIGHTPOLE LHS),1429,Yes,888796800000,NA,NA,3572,NA,NA,NA,NA,NA,NA,NA,NA,1768903.93,5905873.19
EAST TAMAKI RD (EASTBOUND/TAMAKI) (SE),ACCENT DR (LHS),PAUL STEVENSON PL,4653,Yes,1046390400000,NA,NA,1761,NA,NA,NA,NA,NA,NA,NA,NA,1769326.8708,5908906.5798
EAST TAMAKI RD (EASTBOUND/TAMAKI) (SE),PAUL STEVENSON PL,CRAIGAVON DR RAB,4871,Yes,689904000000,NA,NA,3875,NA,86,8,3,2,1,0,6,1769512.3626,5909025.1955
ORMISTON RD (EASTBOUND/FLAT BUSH) (SE),UNFORMED ST (LHS),UNFORMED ST (LHS),2003,Yes,996192000000,NA,NA,4478,NA,85,10,2,1,2,0,5,1770087.7173,5907264.7046
ORMISTON RD (EASTBOUND/FLAT BUSH) (SE),TE ARA KAHIKATEA,FLINTRIDGE DR,2941,Yes,1281916800000,17:00,7D,8025,905,96,1,2,1,0,0,3,1770983.7473,5907035.9865
ORMISTON RD (EASTBOUND/FLAT BUSH) (SE),HENRY MAXWELL WAY,RIENZO DR,3501,Yes,625363200000,08:00,NA,3727,497,NA,NA,NA,NA,NA,NA,NA,1771531.7427,5907023.2447
DAWSON RD (OTARA) (SW),MURRAY RD,COOMBE AVE,404,Yes,1125360000000,08:00,NA,8923,934,98,1,1,0,0,0,1,1768172.6349,5906564.9584
DAWSON RD (OTARA) (SW),HAUMIA WAY,SERENITY PL,854,Yes,733104000000,NA,NA,5906,NA,NA,NA,NA,NA,NA,NA,NA,1768454.8604,5906216.9021
EAST TAMAKI RD (EASTBOUND/OTARA) (SW),GREAT SOUTH RD (RHS),KELLIHER LANE,0,Yes,888192000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765551.7816,5906990.0541
EAST TAMAKI RD (EASTBOUND/OTARA) (SW),KELLIHER LANE,SIMON LANE,124,Yes,974332800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765657.7932,5907054.155
EAST TAMAKI RD (EASTBOUND/OTARA) (SW),KONINI AVE,WINTERE RD,200,Yes,887673600000,NA,NA,11049,NA,NA,NA,NA,NA,NA,NA,NA,1765723.4013,5907093.983
