OBJECTID,IDENTIFIER,ROADNAME,STATUS,CONSTRUCTIONYEAR,Council_Board,TYPEOFFACILITY,Shape__Length
929,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,42.8405193260625
930,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,182.227528770376
933,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,50.4407833116628
937,530,Rosedale Road,Existing,NA,Upper Harbour,Off-road shared path,64.4194751269287
938,386,Greville Road,Existing,2015,Upper Harbour,Off-road shared path,307.207662041205
940,389,Albany Expressway (Don McKinnon),Existing,NA,Upper Harbour,Off-road shared path,406.44743647154
941,389,Albany Expressway (Don McKinnon),Existing,NA,Upper Harbour,Off-road shared path,0.316295790021581
942,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,44.7052291331825
944,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,90.2219339703202
945,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,136.807455983265
947,NA,NA,Existing,NA,NA,Off-road shared path,91.8289735759018
948,NA,NA,Existing,NA,NA,Off-road shared path,116.436193782601
960,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,149.573314559027
966,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,118.285917746007
967,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,285.934268280851
968,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,119.524653697126
971,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,42.398991174505
972,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,123.962747351269
975,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,35.8684599990422
976,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,53.1324632383891
977,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,24.3721030019027
982,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,97.5809598539764
983,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,132.088147271095
985,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,206.165677987796
988,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,77.973280572445
990,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,559.717583476966
994,NA,NA,Existing,NA,NA,Off-road shared path,36.532121776139
996,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,44.9823925990339
