OBJECTID,IDENTIFIER,ROADNAME,STATUS,CONSTRUCTIONYEAR,Council_Board,TYPEOFFACILITY,Shape__Length
341,1050,Ray Clement Treeway,Existing,NA,Albert - Eden,Off-road shared path,69.705417179325
342,1050,Ray Clement Treeway,Existing,NA,Albert - Eden,Off-road shared path,339.989309574139
343,1052,Vauxhall Road,Existing,NA,Devonport - Takapuna,Off-road shared path,2801.73211520662
344,1053,Corinthian Drive,Existing,NA,Upper Harbour,Off-road shared path,190.548329122711
345,1055,Harbourside Drive,Existing,NA,Papakura,Off-road shared path,91.0936080755585
346,1055,Harbourside Drive,Existing,NA,Papakura,Off-road shared path,244.717569568403
347,1056,Munroe Lane,Existing,NA,Upper Harbour,Off-road shared path,248.298183787243
348,1056,Munroe Lane,Existing,NA,Upper Harbour,Off-road shared path,192.798974632911
349,1056,Munroe Lane,Existing,NA,Upper Harbour,Off-road shared path,270.30887894499
356,1062,Off road cycle route,Existing,NA,Howick,Off-road shared path,1667.14226222012
357,1064,Daldy St,Existing,NA,Waitemata,Off-road shared path,254.464342699183
358,1066,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,146.625318164935
359,1066,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,23.0540274347673
360,1066,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,366.093163192954
361,1066,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,114.852018533374
362,1066,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,714.506165360337
363,1070,Owairaka Ave,Existing,NA,Puketapapa,Off-road shared path,362.97661810804
364,1071,Frost Road,Existing,NA,Puketapapa,Off-road shared path,213.146348799875
365,1071,Dominion Road alternative,Existing,NA,Puketapapa,Off-road shared path,202.308236694136
366,1071,Dominion Road alternative,Existing,NA,Puketapapa,Off-road shared path,163.543126620588
368,1073,Off road cycle route,Existing,NA,Howick,Off-road shared path,2109.51800264187
369,1077,Off road cycle route,Existing,NA,Waitemata,Off-road shared path,1271.55783066632
